Dataset,Overlaps,Run,Method
C.elegans,6,9,Louvain
Disesome,27,9,Louvain
karate,3,9,Louvain
lesmisreable,5,9,Louvain
netscience,23,9,Louvain
yeast,26,9,Louvain
dolphin,4,10,Louvain
C.elegans,6,10,Louvain
Disesome,31,10,Louvain
karate,3,10,Louvain
lesmisreable,6,10,Louvain
netscience,23,10,Louvain
yeast,25,10,Louvain
dolphin,4,1,GN
C.elegans,1,1,GN
Disesome,6,1,GN
karate,3,1,GN
lesmisreable,4,1,GN
netscience,19,1,GN
yeast,6,1,GN
dolphin,4,2,GN
C.elegans,1,2,GN
Disesome,6,2,GN
karate,3,2,GN
lesmisreable,4,2,GN
netscience,19,2,GN
yeast,6,2,GN
dolphin,4,3,GN
C.elegans,1,3,GN
Disesome,6,3,GN
karate,3,3,GN
lesmisreable,4,3,GN
netscience,19,3,GN
yeast,6,3,GN
dolphin,4,4,GN
C.elegans,1,4,GN
Disesome,6,4,GN
karate,3,4,GN
lesmisreable,4,4,GN
netscience,19,4,GN
yeast,6,4,GN
dolphin,4,5,GN
C.elegans,1,5,GN
Disesome,6,5,GN
karate,3,5,GN
lesmisreable,4,5,GN
netscience,19,5,GN
yeast,6,5,GN
dolphin,4,6,GN
C.elegans,1,6,GN
Disesome,6,6,GN
karate,3,6,GN
lesmisreable,4,6,GN
netscience,19,6,GN
yeast,6,6,GN
dolphin,4,7,GN
C.elegans,1,7,GN
Disesome,6,7,GN
karate,3,7,GN
lesmisreable,4,7,GN
netscience,19,7,GN
yeast,6,7,GN
dolphin,4,8,GN
C.elegans,1,8,GN
Disesome,6,8,GN
karate,3,8,GN
lesmisreable,4,8,GN
netscience,19,8,GN
yeast,6,8,GN
dolphin,4,9,GN
C.elegans,1,9,GN
Disesome,6,9,GN
karate,3,9,GN
lesmisreable,4,9,GN
netscience,19,9,GN
yeast,6,9,GN
dolphin,4,10,GN
C.elegans,1,10,GN
Disesome,6,10,GN
karate,3,10,GN
lesmisreable,4,10,GN
netscience,19,10,GN
yeast,6,10,GN
